"","x","y","Number","Neighborhood.Code","Neighborhood.Name"
"149",2.1681839,41.3797157,1452,1,"el Raval"
"150",2.1568539,41.3752043,411,2,"el Barri Gòtic"
"151",2.1893853,41.3808941,525,3,"la Barceloneta"
"152",2.1830997,41.3868205,725,4,"Sant Pere, Santa Caterina i la Ribera"
"153",2.181871,41.3981098,738,5,"el Fort Pienc"
"154",2.1743558,41.4036299,1206,6,"la Sagrada Família"
"155",2.1653831,41.3963097,810,7,"la Dreta de l'Eixample"
"156",2.1573033,41.3885573,825,8,"l'Antiga Esquerra de l'Eixample"
"157",2.14748,41.3837327,1231,9,"la Nova Esquerra de l'Eixample"
"158",2.1585314,41.3772662,881,10,"Sant Antoni"
"159",2.1628778,41.3724303,1245,11,"el Poble Sec"
"160",2.1413415,41.3525378,53,12,"la Marina del Prat Vermell"
"161",2.1376589,41.3588692,1030,13,"la Marina de Port"
"162",2.1444107,41.3693898,316,14,"la Font de la Guatlla"
"163",2.1451349,41.3752223,427,15,"Hostafrancs"
"164",2.1364314,41.3676592,501,16,"la Bordeta"
"165",2.1266126,41.3753542,543,17,"Sants - Badal"
"166",2.1376589,41.3789067,1024,18,"Sants"
"167",2.1167971,41.3834895,1024,19,"les Corts"
"168",2.1131154,41.3793585,537,20,"la Maternitat i Sant Ramon"
"169",2.1091214,41.3903033,125,21,"Pedralbes"
"170",2.0910377,41.4173114,51,22,"Vallvidrera, el Tibidabo i les Planes"
"171",2.1203894,41.3969043,268,23,"Sarrià"
"172",2.1315217,41.3977987,199,24,"les Tres Torres"
"173",2.1278398,41.4091308,347,25,"Sant Gervasi - la Bonanova"
"174",2.1425692,41.3988459,633,26,"Sant Gervasi - Galvany"
"175",2.1423701,41.4082916,583,27,"el Putxet i el Farró"
"176",2.1413415,41.415138,377,28,"Vallcarca i els Penitents"
"177",2.1487078,41.4175036,159,29,"el Coll"
"178",2.1536193,41.4124069,305,30,"la Salut"
"179",2.1553129,41.4035997,1181,31,"la Vila de Gràcia"
"180",2.1659005,41.4046685,780,32,"el Camp d'en Grassot i Gràcia Nova"
"181",2.1683571,41.412131,601,33,"el Baix Guinardó"
"182",2.1734035,41.3850639,217,34,"Can Baró"
"183",2.1734035,41.3850639,956,35,"el Guinardó"
"184",2.1659005,41.4246893,287,36,"la Font d'en Fargues"
"185",2.1560753,41.422371,978,37,"el Carmel"
"186",2.1437968,41.4225997,298,38,"la Teixonera"
"187",2.1278398,41.424146,180,39,"Sant Genís dels Agudells"
"188",2.1438689,41.4304873,130,40,"Montbau"
"189",2.1487078,41.4300146,139,41,"la Vall d'Hebron"
"190",2.1530054,41.4293091,10,42,"la Clota"
"191",2.155286,41.4333025,806,43,"Horta"
"192",2.173885,41.4289178,755,44,"Vilapicina i la Torre Llobeta"
"193",2.178185,41.4344658,753,45,"Porta"
"194",2.1708139,41.4321029,462,46,"el Turó de la Peira"
"195",2.1662075,41.4343785,65,47,"Can Peguera"
"196",2.1657081,41.4400621,533,48,"la Guineueta"
"197",2.163444,41.4447489,260,49,"Canyelles"
"198",2.1712952,41.4468761,563,50,"les Roquetes"
"199",2.1751135,41.4426536,432,51,"Verdun"
"200",2.1830997,41.4418775,848,52,"la Prosperitat"
"201",2.1855573,41.4518355,335,53,"la Trinitat Nova"
"202",2.1734035,41.3850639,92,54,"Torre Baró"
"203",2.1757278,41.4620238,478,55,"Ciutat Meridiana"
"204",2.1811328,41.4661323,55,56,"Vallbona"
"205",2.1929308,41.4516956,443,57,"la Trinitat Vella"
"206",2.1978471,41.4440989,76,58,"Baró de Viver"
"207",2.199783,41.4365208,432,59,"el Bon Pastor"
"208",2.1857902,41.4336754,1748,60,"Sant Andreu"
"209",2.1852454,41.42461,770,61,"la Sagrera"
"210",2.1806423,41.4244117,375,62,"el Congrés i els Indians"
"211",2.188015,41.4167653,577,63,"Navas"
"212",2.1830997,41.4118532,1034,64,"el Camp de l'Arpa del Clot"
"213",2.1892366,41.4097037,745,65,"el Clot"
"214",2.1904728,41.3991986,375,66,"el Parc i la Llacuna del Poblenou"
"215",2.1953889,41.3915949,248,67,"la Vila Olímpica del Poblenou"
"216",2.2015347,41.3977365,853,68,"el Poblenou"
"217",2.2162882,41.4074666,368,69,"Diagonal Mar i el Front Marítim del Poblenou"
"218",2.2150586,41.413747,841,70,"el Besòs i el Maresme"
"219",2.2008913,41.4075066,593,71,"Provençals del Poblenou"
"220",2.1990763,41.4052928,824,72,"Sant Martí de Provençals"
"221",2.202764,41.4239917,932,73,"la Verneda i la Pau"
"222",2.1734035,41.3850639,5,99,"No consta"
